,Tweet,Username
131,Addressing a programme at Suttur Math in Mysuru. https://t.co/bV0LbpPG3X,narendramodi
132,"Key projects are being launched in Mysuru, which will benefit the citizens. Watch. https://t.co/ftUCOuGUlO",narendramodi
133,???????? ????? ???? ??????? ???? ?????????????? ????????? ????????. ??? ????????? ????????? ?????? ???????? ????? ???????? ??????????? ??????????????. ??? ?????? ????????????? ??????? ?????????. https://t.co/MHBINZDT8m,narendramodi
134,?????????????? ??????????? ??????????? ??????? ??????????????. https://t.co/CYF3qUNFBM,narendramodi
135,???? 8 ?????????? ?????????????? ?????? ?????????????? ????????? ?????????????. ?????? ???????? ?????????? ?????????????????. https://t.co/v6SBpMrV9G,narendramodi
136,Committed to providing seamless connectivity across Karnataka. https://t.co/vtqGS03tig,narendramodi
137,The Bengaluru Suburban Rail project will transform the city’s infrastructure. It will ensure comfortable and convenient travel for the dynamic people of Bengaluru. It will also boost economic activities. https://t.co/c1cbR7ZMML,narendramodi
138,"In the last 8 years, railway infrastructure across Karnataka has been significantly enhanced. This is helping crores of citizens. https://t.co/Z5JDX3tCat",narendramodi
139,"Karnataka has a special contribution in India’s strides in the world of tech, research and innovation. In this context, the new Technology Hubs developed by transforming ITIs will provide skilling opportunities for the youth and create several employment opportunities. https://t.co/Q4CZHGoz1C",narendramodi
140,Dr. B R Ambedkar School of Economics (BASE) University is a tribute to the intellectual prowess of Dr. Ambedkar. The new campus of this institution will benefit several students. The new tech hubs which have been inaugurated will also be a boon for our Yuva Shakti. https://t.co/QWKUnp3pD0,narendramodi
141,Delighted to be in Bengaluru. Speaking at a public meeting. https://t.co/epNMla6flf,narendramodi
142,"At a time when every nation must give topmost importance to healthcare, efforts like the Bagchi Parthasarathy Multispeciality Hospital assume great importance. In the times to come, it will strengthen healthcare capacities and encourage pioneering research in the sector. https://t.co/BhFoPMoaUk",narendramodi
143,Glad to inaugurate the Centre for Brain Research at @iiscbangalore. The joy is greater because I also had the honour of laying the foundation stone for this project. This Centre will be at the forefront of research on how to manage brain related disorders. https://t.co/QU7Oe55s9w,narendramodi
144,"???? 5.30? ?????? ?????? ???????. ??????? ?????? ????????? ??????? ???????? ?????? ????????? ???????????. ???????? ??? ???????????????? ??????????. ???? ???????, ??????????? ??? ???? ??????????? ??????????.",narendramodi
145,"????????? ??????????????, 27,000 ???? ??. ?????? ????????? ??????? ???????? ?????? ???????????. ? ?????????? ????? ???????????? ???????? ????????? ???? ????????????? ??? '???? ????'???? ??????????.",narendramodi
146,"???? ???????, ???? ??. ?? ??? ????????? ?????? ??? ?????????? (????), ???????? ????? ???? ?????????????? ??? ???????? ???????? ????? ?? ??.???. ????????? ??? ???????? ??????.150 ???? ??? ?? ????????? ??? ?????? . ?????? ?????????? ??????????? ????????????????????.",narendramodi
147,"??????? ????????? ????????????. ????? ???????? ????? ??????? ????????? ?????? ??????????. ???? ????????? @iiscbangalore, ????? ?????? ??????? ?????? ????????????????. ??????- ?????????? ??????????????? ???????????? ????????? ????????????????.",narendramodi
148,"I will reach Mysuru at around 5:30 PM and there too, key development works would either be inaugurated or their foundation stones would be laid. I will also be attending a programme at the Suttur Math. Tomorrow morning, the Yoga Day programme will also take place in Mysuru.",narendramodi
149,"At a programme in Bengaluru, development works worth over Rs. 27,000 crore would either be inaugurated or their foundation stones would be laid. These works cover diverse sectors and will boost ‘Ease of Living’ for the people of Bengaluru and surrounding areas.",narendramodi
150,"This afternoon, I will be at the Dr. B R Ambedkar School of Economics (BASE), Bengaluru to inaugurate a new campus of BASE University and unveil the statue of Dr B. R. Ambedkar. 150 tech hubs would also be dedicated to the nation. These have been developed by transforming ITIs.",narendramodi
151,"Leaving for Karnataka, where I will be attending programmes in Bengaluru and Mysuru. The first programme will be held at @iiscbangalore, where a Centre for Brain Research would be inaugurated. The foundation stone of the Bagchi-Parthasarathy Multispeciality Hospital will be laid.",narendramodi
152,"?? ???? 21 ??? ?? ?????????????? ??? ???? ????? ?????? ?? ??? ?? ????? ‘?????? ?? ??? ???’ ?? ??? ?? ??? ????? ???, ?? ?? ????? ??? ??? ????? ??? ??? ?? ?????????? ?? ?? ??????? https://t.co/UESTuNPNbW",narendramodi
153,"?????? ????, 21 ??? ??????????? ??? ???? ???? ????? ??? ? '?????? ???? ???' ?????? ?????????? ???, ?????? ??? ?????? ??? ????? ??? ????? ????? ???????? ????? ? https://t.co/UESTuNPNbW",narendramodi
154,"????? ??. ?? ??? ???? ????????????? ??? ??? ????? ???? ????? ???.  ???????? ??? ?????? ???????? ‘?????????? ???’, ?? ???, ??? ??? ??? ????????? ????? ???, ?????????????? ?????? ?????. https://t.co/UESTuNPNbW",narendramodi
